seats,passengers,payload,airline_id,origin_airport_id,dest_airport_id
10,0,2958,20383,12633,15885
6,0,1850,20383,12773,11484
18,1,5550,20383,12773,14229
6,0,1850,20383,12773,15741
10,4,2958,20383,12773,15741
24,1,7400,20383,12815,10961
10,0,2958,20383,12815,10961
12,0,3700,20383,12815,12253
6,0,1850,20383,12815,12633
10,0,2958,20383,12815,12633
84,3,25900,20383,12815,15741
10,1,2958,20383,12815,15741
6,0,1850,20383,12815,15885
252,51,77700,20383,13504,15741
20,2,5916,20383,13504,15741
6,0,1850,20383,13504,15741
12,0,3700,20383,13693,11484
10,2,2958,20383,13693,14229
30,1,9250,20383,13693,15741
10,2,2958,20383,13693,15741
12,0,3700,20383,14229,12773
10,3,2958,20383,14229,12773
30,1,9250,20383,14229,15741
6,0,1850,20383,14229,15841
54,10,16650,20383,15741,10961
20,2,5916,20383,15741,10961
18,2,5550,20383,15741,11367
18,3,5550,20383,15741,11484
10,2,2958,20383,15741,11484
24,1,7400,20383,15741,12252
72,16,22200,20383,15741,12253
27,3,7204,20272,10559,16016
9,0,2379,20272,10559,16263
9,0,2379,20272,11588,10559
18,0,4806,20272,11588,16263
9,8,2379,20272,11762,11588
18,0,4648,20272,12652,13002
10,0,2546,20272,12652,13002
2,0,716,20272,12652,16229
10,0,2208,20272,12652,16310
18,0,4648,20272,13002,12652
20,0,4754,20272,13002,12652
12,5,3079,20272,13002,13002
2,0,716,20272,14477,12652
9,0,2446,20272,16016,10559
9,1,2379,20272,16172,10559
2,2,716,20272,16229,14477
6,0,1569,20272,16233,11646
18,2,4806,20272,16263,10559
9,8,2379,20272,16263,11762
0,0,8175300,20370,10299,11193
0,0,480900,20370,10299,12339
0,0,2404500,20370,10299,12478
0,0,6732600,20370,10299,13303
0,0,2430000,20370,11433,13487
0,0,648000,20370,11540,11193
0,0,486000,20370,11540,13061
0,0,3402000,20370,11995,11193
0,0,2592000,20370,11995,14524
0,0,961800,20370,12173,12758
0,0,10579800,20370,12173,12892
0,0,480900,20370,12173,14955
0,0,648000,20370,12206,11193
0,0,2916000,20370,12266,11193
0,0,648000,20370,12266,12206
0,0,3078000,20370,12266,13061
0,0,480900,20370,12478,10299
0,0,2268000,20370,12478,11193
0,0,1923600,20370,12478,11193
0,0,961800,20370,12478,12892
0,0,480900,20370,12478,13303
0,0,961800,20370,12758,12892
0,0,12022500,20370,12892,12173
0,0,1442700,20370,12892,12478
0,0,1442700,20370,12892,13204
0,0,3078000,20370,12892,14771
0,0,648000,20370,13061,11540
0,0,480900,20370,14747,10299
0,0,648000,20370,14747,11193
0,0,480900,20370,14747,12173
0,0,2916000,20370,14771,11193
0,0,2916000,20370,14771,12892
0,0,486000,20370,14869,14771
0,0,2885400,20370,10292,12478
0,0,480900,20370,10299,11193
0,0,961800,20370,10299,16593
0,0,1923600,20370,10299,12143
0,0,2404500,20370,10299,13658
0,0,480900,20370,10299,13930
0,0,480900,20370,10299,15127
