,weather
1268,Moderate snow
1269,Moderate snow
1270,Moderate snow
1271,Moderate snow
1272,Moderate snow
1273,Moderate snow
1274,Moderate snow
1275,Moderate snow
1276,Moderate snow
1277,Moderate snow
1278,Moderate snow
1279,Moderate snow
1280,Moderate snow
1281,Moderate snow
1282,Moderate snow
1283,Moderate snow
1284,Moderate snow
1285,Moderate snow
1286,Moderate snow
1287,Moderate snow
1288,Moderate snow
1289,Moderate snow
1290,Moderate snow
1291,Moderate snow
1292,Moderate snow
1293,Moderate snow
1294,Moderate snow
1295,Moderate snow
1296,Moderate snow
1297,Moderate snow
1298,Moderate snow
1299,Moderate snow
1300,Moderate snow
1301,Moderate snow
1302,Moderate snow
1303,Moderate snow
1304,Moderate snow
1305,Moderate snow
1306,Moderate snow
1307,Moderate snow
1308,Moderate snow
1309,Moderate snow
1310,Moderate snow
1311,Moderate snow
1312,Moderate snow
1313,Moderate snow
1314,Moderate snow
1315,Moderate snow
1316,Moderate snow
1317,Moderate snow
1318,Moderate snow
1319,Moderate snow
1320,Moderate snow
1321,Moderate snow
1322,Moderate snow
1323,Moderate snow
1324,Moderate snow
1325,Moderate snow
1326,Moderate snow
1327,Moderate snow
1328,Moderate snow
1329,Moderate snow
1330,Moderate snow
1331,Moderate snow
1332,Moderate snow
1333,Moderate snow
1334,Moderate snow
1335,Moderate snow
1336,Moderate snow
1337,Moderate snow
1338,Moderate snow
1339,Moderate snow
1340,Moderate snow
1341,Moderate snow
1342,Moderate snow
1343,Moderate snow
1344,Moderate snow
1345,Moderate snow
1346,Moderate snow
1347,Moderate snow
1348,Moderate snow
1349,Moderate snow
1350,Moderate snow
1351,Moderate snow
1352,Moderate snow
1353,Moderate snow
1354,Moderate snow
1355,Moderate snow
1356,Moderate snow
1357,Moderate snow
1358,Moderate snow
1359,Moderate snow
1360,Moderate snow
1361,Moderate snow
1362,Moderate snow
1363,Moderate snow
1364,Moderate snow
1365,Moderate snow
1366,Moderate snow
1367,Moderate snow
1368,Moderate snow
1369,Moderate snow
1370,Moderate snow
1371,Moderate snow
1372,Moderate snow
