,weather
876,Patchy light snow
877,Patchy light snow
878,Patchy light snow
879,Patchy light snow
880,Patchy light snow
881,Patchy light snow
882,Patchy light snow
883,Patchy light snow
884,Patchy light snow
885,Patchy light snow
886,Patchy light snow
887,Patchy light snow
888,Patchy light snow
889,Patchy light snow
890,Patchy light snow
891,Patchy light snow
892,Patchy light snow
893,Patchy light snow
894,Patchy light snow
895,Patchy light snow
896,Patchy light snow
897,Patchy light snow
898,Patchy light snow
899,Patchy light snow
900,Patchy light snow
901,Patchy light snow
902,Patchy light snow
903,Patchy light snow
904,Patchy light snow
905,Patchy light snow
906,Patchy light snow
907,Patchy light snow
908,Patchy light snow
909,Patchy light snow
910,Patchy light snow
911,Patchy light snow
912,Patchy light snow
913,Patchy light snow
914,Patchy light snow
915,Patchy light snow
916,Patchy light snow
917,Patchy light snow
918,Patchy light snow
919,Patchy light snow
920,Patchy light snow
921,Patchy light snow
922,Patchy light snow
923,Patchy light snow
924,Patchy light snow
925,Patchy light snow
926,Patchy light snow
927,Patchy light snow
928,Patchy light snow
929,Patchy light snow
930,Patchy light snow
931,Patchy light snow
932,Patchy light snow
933,Patchy light snow
934,Patchy light snow
935,Patchy light snow
936,Patchy light snow
937,Patchy light snow
938,Patchy light snow
939,Patchy light snow
940,Patchy light snow
941,Patchy light snow
942,Patchy light snow
943,Patchy light snow
944,Patchy light snow
945,Patchy light snow
946,Patchy light snow
947,Patchy light snow
948,Patchy light snow
949,Patchy light snow
950,Patchy light snow
951,Patchy light snow
952,Patchy light snow
953,Patchy light snow
954,Patchy light snow
955,Patchy light snow
956,Patchy light snow
957,Patchy light snow
958,Patchy light snow
959,Patchy light snow
960,Patchy light snow
961,Patchy light snow
962,Patchy light snow
963,Patchy light snow
964,Patchy light snow
965,Patchy light snow
966,Patchy light snow
967,Patchy light snow
968,Patchy light snow
969,Patchy light snow
970,Patchy light snow
971,Patchy light snow
972,Patchy light snow
973,Patchy light snow
974,Patchy light snow
975,Patchy light snow
976,Patchy light snow
977,Patchy light snow
978,Patchy light snow
979,Patchy light snow
980,Patchy light snow
981,Patchy light snow
982,Patchy light snow
983,Patchy light snow
984,Patchy light snow
985,Patchy light snow
986,Patchy light snow
987,Patchy light snow
988,Patchy light snow
989,Patchy light snow
990,Patchy light snow
991,Patchy light snow
992,Patchy light snow
993,Patchy light snow
994,Patchy light snow
995,Patchy light snow
996,Patchy light snow
997,Patchy light snow
998,Patchy light snow
999,Patchy light snow
1000,Patchy light snow
1001,Patchy light snow
1002,Patchy light snow
1003,Patchy light snow
1004,Patchy light snow
1005,Patchy light snow
1006,Patchy light snow
1007,Patchy light snow
1008,Patchy light snow
1009,Patchy light snow
1010,Patchy light snow
1011,Patchy light snow
1012,Patchy light snow
1013,Patchy light snow
1014,Patchy light snow
1015,Patchy light snow
1016,Patchy light snow
1017,Patchy light snow
1018,Patchy light snow
1019,Patchy light snow
1020,Patchy light snow
1021,Patchy light snow
1022,Patchy light snow
1023,Patchy light snow
1024,Patchy light snow
1025,Patchy light snow
1026,Patchy light snow
1027,Patchy light snow
1028,Patchy light snow
1029,Patchy light snow
1030,Patchy light snow
1031,Patchy light snow
1032,Patchy light snow
1033,Patchy light snow
1034,Patchy light snow
1035,Patchy light snow
1036,Patchy light snow
1037,Patchy light snow
1038,Patchy light snow
1039,Patchy light snow
1040,Patchy light snow
1041,Patchy light snow
1042,Patchy light snow
1043,Patchy light snow
1044,Patchy light snow
1045,Patchy light snow
1046,Patchy light snow
1047,Patchy light snow
1048,Patchy light snow
1049,Patchy light snow
1050,Patchy light snow
1051,Patchy light snow
1052,Patchy light snow
1053,Patchy light snow
1054,Patchy light snow
1055,Patchy light snow
1056,Patchy light snow
1057,Patchy light snow
1058,Patchy light snow
1059,Patchy light snow
1060,Patchy light snow
1061,Patchy light snow
1062,Patchy light snow
1063,Patchy light snow
1064,Patchy light snow
1065,Patchy light snow
1066,Patchy light snow
1067,Patchy light snow
1068,Patchy light snow
1069,Patchy light snow
1070,Patchy light snow
1071,Patchy light snow
1072,Patchy light snow
1073,Patchy light snow
1074,Patchy light snow
1075,Patchy light snow
1076,Patchy light snow
1077,Patchy light snow
1078,Patchy light snow
1079,Patchy light snow
1080,Patchy light snow
1081,Patchy light snow
1082,Patchy light snow
1083,Patchy light snow
1084,Patchy light snow
1085,Patchy light snow
1086,Patchy light snow
1087,Patchy light snow
1088,Patchy light snow
1089,Patchy light snow
1090,Patchy light snow
1091,Patchy light snow
1092,Patchy light snow
1093,Patchy light snow
1094,Patchy light snow
1095,Patchy light snow
1096,Patchy light snow
1097,Patchy light snow
1098,Patchy light snow
1099,Patchy light snow
1100,Patchy light snow
1101,Patchy light snow
1102,Patchy light snow
1103,Patchy light snow
1104,Patchy light snow
1105,Patchy light snow
1106,Patchy light snow
1107,Patchy light snow
1108,Patchy light snow
1109,Patchy light snow
1110,Patchy light snow
1111,Patchy light snow
1112,Patchy light snow
1113,Patchy light snow
1114,Patchy light snow
1115,Patchy light snow
1116,Patchy light snow
1117,Patchy light snow
1118,Patchy light snow
1119,Patchy light snow
1120,Patchy light snow
1121,Patchy light snow
1122,Patchy light snow
1123,Patchy light snow
1124,Patchy light snow
1125,Patchy light snow
1126,Patchy light snow
1127,Patchy light snow
1128,Patchy light snow
1129,Patchy light snow
1130,Patchy light snow
1131,Patchy light snow
1132,Patchy light snow
1133,Patchy light snow
1134,Patchy light snow
1135,Patchy light snow
1136,Patchy light snow
1137,Patchy light snow
1138,Patchy light snow
1139,Patchy light snow
1140,Patchy light snow
1141,Patchy light snow
1142,Patchy light snow
1143,Patchy light snow
1144,Patchy light snow
1145,Patchy light snow
1146,Patchy light snow
1147,Patchy light snow
1148,Patchy light snow
1149,Patchy light snow
1150,Patchy light snow
1151,Patchy light snow
1152,Patchy light snow
1153,Patchy light snow
1154,Patchy light snow
1155,Patchy light snow
1156,Patchy light snow
1157,Patchy light snow
1158,Patchy light snow
1159,Patchy light snow
1160,Patchy light snow
1161,Patchy light snow
1162,Patchy light snow
1163,Patchy light snow
1164,Patchy light snow
1165,Patchy light snow
1166,Patchy light snow
1167,Patchy light snow
1168,Patchy light snow
1169,Patchy light snow
1170,Patchy light snow
1171,Patchy light snow
1172,Patchy light snow
1173,Patchy light snow
1174,Patchy light snow
1175,Patchy light snow
1176,Patchy light snow
1177,Patchy light snow
1178,Patchy light snow
1179,Patchy light snow
1180,Patchy light snow
1181,Patchy light snow
1182,Patchy light snow
1183,Patchy light snow
1184,Patchy light snow
