,weather
1087,Heavy snow
1088,Heavy snow
1089,Heavy snow
1090,Heavy snow
1091,Heavy snow
1092,Heavy snow
1093,Heavy snow
1094,Heavy snow
1095,Heavy snow
1096,Heavy snow
1097,Heavy snow
1098,Heavy snow
1099,Heavy snow
1100,Heavy snow
1101,Heavy snow
1102,Heavy snow
1103,Heavy snow
1104,Heavy snow
1105,Heavy snow
1106,Heavy snow
1107,Heavy snow
1108,Heavy snow
1109,Heavy snow
1110,Heavy snow
1111,Heavy snow
1112,Heavy snow
1113,Heavy snow
1114,Heavy snow
1115,Heavy snow
1116,Heavy snow
1117,Heavy snow
1118,Heavy snow
1119,Heavy snow
1120,Heavy snow
1121,Heavy snow
1122,Heavy snow
1123,Heavy snow
1124,Heavy snow
1125,Heavy snow
1126,Heavy snow
1127,Heavy snow
1128,Heavy snow
1129,Heavy snow
1130,Heavy snow
1131,Heavy snow
1132,Heavy snow
1133,Heavy snow
1134,Heavy snow
1135,Heavy snow
1136,Heavy snow
1137,Heavy snow
1138,Heavy snow
1139,Heavy snow
1140,Heavy snow
1141,Heavy snow
1142,Heavy snow
1143,Heavy snow
1144,Heavy snow
1145,Heavy snow
1146,Heavy snow
1147,Heavy snow
1148,Heavy snow
1149,Heavy snow
1150,Heavy snow
1151,Heavy snow
1152,Heavy snow
1153,Heavy snow
1154,Heavy snow
1155,Heavy snow
1156,Heavy snow
1157,Heavy snow
1158,Heavy snow
1159,Heavy snow
1160,Heavy snow
1161,Heavy snow
1162,Heavy snow
1163,Heavy snow
1164,Heavy snow
1165,Heavy snow
1166,Heavy snow
1167,Heavy snow
1168,Heavy snow
1169,Heavy snow
1170,Heavy snow
1171,Heavy snow
1172,Heavy snow
1173,Heavy snow
1174,Heavy snow
1175,Heavy snow
1176,Heavy snow
1177,Heavy snow
1178,Heavy snow
1179,Heavy snow
1180,Heavy snow
1181,Heavy snow
1182,Heavy snow
1183,Heavy snow
1184,Heavy snow
1185,Heavy snow
1186,Heavy snow
1187,Heavy snow
1188,Heavy snow
1189,Heavy snow
1190,Heavy snow
1191,Heavy snow
1192,Heavy snow
1193,Heavy snow
1194,Heavy snow
1195,Heavy snow
1196,Heavy snow
1197,Heavy snow
1198,Heavy snow
1199,Heavy snow
1200,Heavy snow
1201,Heavy snow
1202,Heavy snow
1203,Heavy snow
1204,Heavy snow
1205,Heavy snow
1206,Heavy snow
1207,Heavy snow
1208,Heavy snow
1209,Heavy snow
1210,Heavy snow
1211,Heavy snow
1212,Heavy snow
1213,Heavy snow
1214,Heavy snow
1215,Heavy snow
1216,Heavy snow
1217,Heavy snow
1218,Heavy snow
1219,Heavy snow
1220,Heavy snow
1221,Heavy snow
1222,Heavy snow
1223,Heavy snow
1224,Heavy snow
1225,Heavy snow
1226,Heavy snow
1227,Heavy snow
1228,Heavy snow
1229,Heavy snow
1230,Heavy snow
1231,Heavy snow
1232,Heavy snow
1233,Heavy snow
1234,Heavy snow
1235,Heavy snow
1236,Heavy snow
1237,Heavy snow
1238,Heavy snow
1239,Heavy snow
1240,Heavy snow
1241,Heavy snow
1242,Heavy snow
1243,Heavy snow
1244,Heavy snow
1245,Heavy snow
1246,Heavy snow
1247,Heavy snow
1248,Heavy snow
1249,Heavy snow
1250,Heavy snow
1251,Heavy snow
1252,Heavy snow
1253,Heavy snow
1254,Heavy snow
1255,Heavy snow
1256,Heavy snow
1257,Heavy snow
1258,Heavy snow
1259,Heavy snow
1260,Heavy snow
1261,Heavy snow
1262,Heavy snow
1263,Heavy snow
1264,Heavy snow
1265,Heavy snow
1266,Heavy snow
1267,Heavy snow
1268,Heavy snow
1269,Heavy snow
1270,Heavy snow
1271,Heavy snow
1272,Heavy snow
1273,Heavy snow
1274,Heavy snow
1275,Heavy snow
1276,Heavy snow
1277,Heavy snow
1278,Heavy snow
1279,Heavy snow
1280,Heavy snow
1281,Heavy snow
1282,Heavy snow
1283,Heavy snow
1284,Heavy snow
1285,Heavy snow
1286,Heavy snow
1287,Heavy snow
1288,Heavy snow
1289,Heavy snow
1290,Heavy snow
1291,Heavy snow
1292,Heavy snow
1293,Heavy snow
1294,Heavy snow
1295,Heavy snow
1296,Heavy snow
1297,Heavy snow
1298,Heavy snow
1299,Heavy snow
1300,Heavy snow
1301,Heavy snow
1302,Heavy snow
1303,Heavy snow
1304,Heavy snow
1305,Heavy snow
1306,Heavy snow
1307,Heavy snow
1308,Heavy snow
1309,Heavy snow
1310,Heavy snow
1311,Heavy snow
1312,Heavy snow
1313,Heavy snow
1314,Heavy snow
1315,Heavy snow
1316,Heavy snow
1317,Heavy snow
1318,Heavy snow
1319,Heavy snow
1320,Heavy snow
1321,Heavy snow
1322,Heavy snow
1323,Heavy snow
1324,Heavy snow
1325,Heavy snow
1326,Heavy snow
1327,Heavy snow
1328,Heavy snow
1329,Heavy snow
1330,Heavy snow
1331,Heavy snow
1332,Heavy snow
1333,Heavy snow
1334,Heavy snow
1335,Heavy snow
1336,Heavy snow
1337,Heavy snow
1338,Heavy snow
1339,Heavy snow
1340,Heavy snow
1341,Heavy snow
1342,Heavy snow
1343,Heavy snow
1344,Heavy snow
1345,Heavy snow
1346,Heavy snow
1347,Heavy snow
1348,Heavy snow
1349,Heavy snow
1350,Heavy snow
1351,Heavy snow
1352,Heavy snow
1353,Heavy snow
1354,Heavy snow
1355,Heavy snow
1356,Heavy snow
1357,Heavy snow
1358,Heavy snow
1359,Heavy snow
1360,Heavy snow
1361,Heavy snow
1362,Heavy snow
1363,Heavy snow
1364,Heavy snow
1365,Heavy snow
1366,Heavy snow
1367,Heavy snow
1368,Heavy snow
1369,Heavy snow
1370,Heavy snow
1371,Heavy snow
1372,Heavy snow
1373,Heavy snow
1374,Heavy snow
1375,Heavy snow
1376,Heavy snow
1377,Heavy snow
1378,Heavy snow
1379,Heavy snow
1380,Heavy snow
1381,Heavy snow
1382,Heavy snow
1383,Heavy snow
1384,Heavy snow
1385,Heavy snow
1386,Heavy snow
1387,Heavy snow
1388,Heavy snow
1389,Heavy snow
1390,Heavy snow
1391,Heavy snow
1392,Heavy snow
